lat_deg,lon_deg
33.60286647,73.13341150
33.60285175,73.13342235
33.60283640,73.13343368
33.60282185,73.13344570
33.60280650,73.13345681
33.60279225,73.13346845
33.60277553,73.13348106
33.60275983,73.13349319
33.60274339,73.13350616
33.60272734,73.13351792
33.60271140,73.13352939
33.60269444,73.13354109
33.60267696,73.13355305
33.60267734,73.13355878
33.60266067,73.13357136
33.60262207,73.13362558
33.60251780,73.13365500
33.60217997,73.13386238
33.60215795,73.13388133
33.60213660,73.13390020
33.60211695,73.13391584
33.60209656,73.13393293
33.60207735,73.13394868
33.60205712,73.13396576
33.60198770,73.13403979
33.60196971,73.13405411
33.60195191,73.13406837
33.60193387,73.13408264
33.60191582,73.13409723
33.60189817,73.13411119
33.60188062,73.13412465
33.60186295,73.13413886
33.60184537,73.13415276
33.60181470,73.13418177
33.60179780,73.13419454
33.60178087,73.13420712
33.60176406,73.13421970
33.60174696,73.13423235
33.60173038,73.13424500
33.60171338,73.13425756
33.60168707,73.13428640
33.60167043,73.13429854
33.60165459,73.13430987
33.60163762,73.13432250
33.60162071,73.13433502
33.60160437,73.13434714
33.60158717,73.13436016
33.60156941,73.13437359
33.60155191,73.13438662
33.60151786,73.13441266
33.60092425,73.13489870
33.60091403,73.13490131
33.60090355,73.13490534
33.60089303,73.13490875
33.60088046,73.13491533
33.60086801,73.13492154
33.60085544,73.13492749
33.60084179,73.13493508
33.60082892,73.13494164
33.60081613,73.13494807
33.60080215,73.13495642
33.60073980,73.13502080
33.60077456,73.13496117
33.60075800,73.13497351
33.60074161,73.13498616
33.60072479,73.13499864
33.60070844,73.13501093
33.60069185,73.13502355
33.60068326,73.13503636
33.60066639,73.13504942
33.60064973,73.13506160
33.60063331,73.13507468
33.60061532,73.13508704
33.60059901,73.13509975
33.60058230,73.13511247
33.60056540,73.13512514
33.60054808,73.13513821
33.60053120,73.13515092
33.60046326,73.13520148
33.60044620,73.13521452
33.60042943,73.13522708
33.59974615,73.13574318
33.59973224,73.13575106
33.59971711,73.13576085
33.59970226,73.13577067
33.59968625,73.13578142
33.59967051,73.13579157
33.59964148,73.13581768
33.59962287,73.13583092
33.59960525,73.13584368
33.59959273,73.13583899
33.59958363,73.13585287
33.59956624,73.13586537
33.59954880,73.13587794
33.59953093,73.13589044
33.59951349,73.13590271
33.59949614,73.13591499
33.59947926,73.13592753
33.59946184,73.13594020
33.59944469,73.13595218
33.59942703,73.13596489
33.59940941,73.13597752
33.59939205,73.13599022
33.59937454,73.13600199
33.59935760,73.13601409
33.59934027,73.13602715
33.59932259,73.13603994
33.59930533,73.13605240
33.59928774,73.13606545
33.59927011,73.13607801
33.59925245,73.13609044
33.59923659,73.13610394
33.59921806,73.13611588
33.59920083,73.13612780
33.59918280,73.13614055
33.59916529,73.13615291
33.59914717,73.13616562
33.59912918,73.13617823
33.59871729,73.13644520
33.59869978,73.13645721
33.59868194,73.13646999
33.59866502,73.13648139
33.59864562,73.13649571
33.59862639,73.13651035
33.59860889,73.13652260
33.59859079,73.13653540
33.59857222,73.13654872
33.59853003,73.13658668
33.59851259,73.13659809
33.59849490,73.13661078
33.59847757,73.13662311
33.59846035,73.13663515
33.59844265,73.13664806
33.59842489,73.13666078
33.59840784,73.13667277
33.59839005,73.13668551
33.59835948,73.13671618
33.59834238,73.13673089
33.59832451,73.13674359
33.59830697,73.13675618
33.59828907,73.13676886
33.59827139,73.13678177
33.59825348,73.13679466
33.59823545,73.13680803
33.59821753,73.13682093
33.59819944,73.13683395
33.59818936,73.13684407
33.59817120,73.13685725
33.59811637,73.13689701
33.59809823,73.13691043
33.59807996,73.13692358
33.59806192,73.13693675
33.59804408,73.13694994
33.59802595,73.13696344
33.59800791,73.13697661
33.59799031,73.13702216
33.59797261,73.13703557
33.59795475,73.13704853
33.59793672,73.13706186
33.59790105,73.13708807
33.59788311,73.13710141
33.59786519,73.13711448
33.59784711,73.13712773
33.59782931,73.13714083
33.59781136,73.13715408
33.59779339,73.13716709
33.59777537,73.13718018
33.59732730,73.13747399
33.59730956,73.13748728
33.59729153,73.13750070
33.59727342,73.13751429
33.59725559,73.13752806
33.59723714,73.13754199
