lat_deg,lon_deg
33.57644415,73.15300855
33.57642659,73.15302057
33.57640904,73.15303269
33.57639147,73.15304488
33.57637388,73.15305706
33.57635634,73.15306931
33.57633879,73.15308161
33.57632121,73.15309397
33.57630363,73.15310640
33.57628603,73.15311888
33.57626840,73.15313137
33.57625081,73.15314391
33.57625489,73.15314694
33.57623746,73.15315959
33.57622000,73.15317230
33.57620248,73.15318504
33.57618493,73.15319776
33.57616740,73.15321049
33.57614985,73.15322323
33.57613228,73.15323602
33.57611467,73.15324880
33.57609704,73.15326157
33.57607938,73.15327438
33.57606168,73.15328720
33.57604399,73.15330004
33.57602392,73.15331723
33.57600622,73.15333010
33.57598857,73.15334301
33.57597091,73.15335596
33.57595315,73.15336893
33.57593637,73.15337690
33.57591870,73.15338988
33.57590106,73.15340284
33.57588341,73.15341579
33.57586571,73.15342877
33.57584799,73.15344183
33.57583023,73.15345493
33.57581249,73.15346813
33.57579476,73.15348135
33.57577706,73.15349454
33.57575935,73.15350772
33.57574970,73.15352161
33.57573199,73.15353485
33.57571428,73.15354808
33.57569498,73.15356415
33.57567726,73.15357730
33.57565955,73.15359047
33.57563848,73.15360597
33.57562065,73.15361920
33.57560283,73.15363245
33.57558506,73.15364563
33.57556725,73.15365887
33.57556208,73.15367682
33.57554442,73.15369061
33.57552673,73.15370442
33.57550905,73.15371821
33.57549139,73.15373197
33.57546963,73.15374716
33.57545198,73.15376089
33.57543430,73.15377457
33.57541659,73.15378825
33.57539888,73.15380196
33.57538115,73.15381564
33.57536346,73.15382931
33.57534578,73.15384301
33.57532812,73.15385672
33.57531051,73.15387045
33.57529287,73.15388425
33.57527526,73.15389806
33.57525769,73.15391185
33.57524014,73.15392567
33.57522260,73.15393954
33.57520502,73.15395344
33.57517770,73.15395358
33.57516008,73.15396724
33.57514248,73.15398091
33.57512487,73.15399454
33.57510281,73.15400389
33.57508514,73.15401743
33.57507011,73.15403344
33.57505249,73.15404684
33.57503587,73.15406031
33.57501831,73.15407369
33.57500072,73.15408712
33.57498312,73.15410054
33.57496556,73.15411387
33.57494811,73.15412716
33.57493174,73.15413505
33.57491436,73.15414831
33.57489698,73.15416154
33.57487960,73.15417478
33.57486225,73.15418804
33.57484494,73.15420129
33.57482766,73.15421456
33.57481040,73.15422783
33.57479318,73.15424111
33.57477603,73.15425434
33.57475890,73.15426755
33.57474181,73.15428065
33.57472473,73.15429372
33.57470765,73.15430685
33.57468995,73.15432028
33.57467301,73.15433330
33.57465606,73.15434630
33.57463910,73.15435922
33.57462220,73.15437208
33.57460541,73.15438493
33.57458871,73.15439777
33.57456745,73.15441508
33.57455074,73.15442792
33.57453406,73.15444076
33.57451744,73.15445357
33.57450084,73.15446637
33.57448429,73.15447913
33.57446778,73.15449186
33.57445128,73.15450458
33.57443449,73.15451556
33.57441801,73.15452820
33.57440274,73.15454279
33.57438626,73.15455548
33.57437139,73.15457512
33.57435491,73.15458786
33.57433841,73.15460061
33.57432188,73.15461334
33.57430533,73.15462610
33.57428880,73.15463882
33.57427223,73.15465150
33.57425563,73.15466422
33.57423824,73.15467703
33.57422157,73.15468968
33.57420488,73.15470233
33.57418821,73.15471496
33.57417152,73.15472761
33.57415484,73.15474028
33.57413814,73.15475299
33.57412140,73.15476569
33.57410467,73.15477837
33.57408795,73.15479106
33.57407121,73.15480378
33.57405445,73.15481648
