utc,obssec,lat,long,altitude,vel_n(NED),vel_e(NED),vel_d(NED)
2026-02-06 11:19:52.376,472808.300000,33.598272890,73.138859060,435.013,-0.040281,-0.249845,-0.233867
2026-02-06 11:19:52.525,472808.400000,33.598271800,73.138854460,435.282,-0.080903,-0.017469,0.251211
2026-02-06 11:19:52.664,472808.500000,33.598270720,73.138852020,435.662,0.095032,0.183870,-0.140858
2026-02-06 11:19:52.823,472808.700000,33.598271280,73.138851140,435.862,0.135971,-0.000768,-0.160318
2026-02-06 11:19:52.892,472808.800000,33.598270400,73.138847370,436.298,0.120468,0.114545,0.158147
2026-02-06 11:19:53.045,472808.900000,33.598270220,73.138845310,436.548,-0.043970,0.086875,-0.199477
2026-02-06 11:19:53.220,472809.100000,33.598270260,73.138846590,436.743,0.046842,-0.058964,-0.292973
2026-02-06 11:19:53.367,472809.200000,33.598247950,73.139009560,461.058,-0.273082,0.780498,-0.734948
2026-02-06 11:19:53.493,472809.400000,33.598270740,73.138845420,436.759,-0.019700,-0.178300,0.153684
2026-02-06 11:19:53.650,472809.500000,33.598271020,73.138846870,436.446,0.142148,-0.098798,0.009041
2026-02-06 11:19:53.793,472809.700000,33.598270110,73.138846090,436.286,0.129654,-0.023786,0.190572
2026-02-06 11:19:53.953,472809.800000,33.598271110,73.138848280,436.163,0.030088,-0.389277,0.039923
2026-02-06 11:19:54.117,472810.000000,33.598272270,73.138852030,435.545,0.050607,-0.296161,0.323446
2026-02-06 11:19:54.307,472810.200000,33.598271900,73.138851660,435.704,-0.101994,-0.101658,-0.029550
2026-02-06 11:19:54.463,472810.300000,33.598271850,73.138850090,435.944,0.145987,0.082947,-0.203756
2026-02-06 11:19:54.542,472810.400000,33.598272490,73.138849270,435.943,0.086334,-0.139437,0.043331
2026-02-06 11:19:54.577,472810.500000,33.598274100,73.138852010,435.609,-0.027431,-0.122275,-0.121673
2026-02-06 11:19:54.733,472810.600000,33.598273480,73.138849680,435.799,0.113244,-0.051024,0.083831
2026-02-06 11:19:54.878,472810.700000,33.598273070,73.138846250,435.844,-0.004656,-0.029034,-0.514814
2026-02-06 11:19:55.053,472810.900000,33.598274100,73.138847430,435.476,0.146579,0.157536,0.301849
2026-02-06 11:19:55.118,472811.000000,33.598274480,73.138846850,435.225,-0.048097,-0.037337,0.248669
2026-02-06 11:19:55.214,472811.100000,33.598274320,73.138848190,434.887,0.110578,0.058452,-0.152571
2026-02-06 11:19:55.453,472811.300000,33.598273930,73.138850840,434.798,0.009096,-0.088576,-0.155249
2026-02-06 11:19:55.613,472811.500000,33.598276410,73.138853270,434.567,-0.050883,-0.072732,0.005579
2026-02-06 11:19:55.788,472811.600000,33.598275780,73.138855900,434.751,-0.099769,-0.071377,-0.045903
2026-02-06 11:19:55.963,472811.800000,33.598274700,73.138857750,434.469,0.068710,0.132295,0.342582
2026-02-06 11:19:56.139,472812.000000,33.598274750,73.138857720,434.293,0.042351,0.056338,-0.069926
2026-02-06 11:19:56.299,472812.200000,33.598275120,73.138858190,434.324,0.052548,-0.065715,0.049329
2026-02-06 11:19:56.474,472812.400000,33.598276320,73.138859140,434.614,-0.095157,0.009695,-0.325941
2026-02-06 11:19:56.617,472812.500000,33.598276040,73.138856960,434.921,0.063864,-0.081608,0.205209
2026-02-06 11:19:56.788,472812.600000,33.598276460,73.138855070,435.004,-0.133767,0.063594,-0.004898
2026-02-06 11:19:56.961,472812.800000,33.598276470,73.138855180,434.711,0.011815,0.164523,-0.008493
2026-02-06 11:19:57.007,472812.900000,33.598275640,73.138853650,434.560,0.028194,0.124167,0.318297
2026-02-06 11:19:57.114,472813.000000,33.598275210,73.138852070,434.395,0.059094,-0.109296,0.261467
2026-02-06 11:19:57.271,472813.100000,33.598275770,73.138854170,434.236,-0.069208,-0.264434,0.109459
2026-02-06 11:19:57.355,472813.200000,33.598276190,73.138855220,434.315,0.000363,-0.014828,0.216675
