12:14.4,454353.4,33.6072498,73.13031594,443.492,0.044219,0.879655,-2.279875
12:14.5,454353.5,33.60725197,73.13031741,444.68,-0.319081,-0.406602,0.726347
12:14.6,454353.6,33.60724912,73.13031669,444.744,-0.008812,-0.441684,1.715483
12:14.7,454353.7,33.60722367,73.13031511,441.492,0.108606,-0.474079,1.48327
12:14.8,454353.8,33.60723653,73.13031415,442.571,-0.457738,0.838257,-4.006721
12:14.9,454353.9,33.60725057,73.13031249,443.942,-0.134294,0.264546,-1.32331
12:15.0,454354,33.60726145,73.13030989,444.323,0.293748,-0.105884,1.741601
12:15.1,454354.1,33.60727428,73.13030704,444.537,0.062057,0.064554,0.430691
12:15.2,454354.2,33.60728626,73.1303079,447.023,0.03483,0.065426,-0.460741
12:15.3,454354.3,33.60729566,73.13031207,449.302,0.306644,0.203407,0.756703
12:15.4,454354.4,33.60730188,73.13031265,450.076,-0.083201,0.018103,-0.811644
12:15.5,454354.5,33.60732449,73.1303126,452.751,0.392638,0.182721,0.802665
12:15.6,454354.6,33.60733436,73.13031454,453.571,-0.293461,0.009729,-1.150536
12:15.7,454354.7,33.60730425,73.13031613,450.712,0.133484,-0.039571,0.364011
12:15.8,454354.8,33.6072926,73.1303191,451.019,0.091907,0.118894,-0.057063
12:15.9,454354.9,33.60729025,73.13031727,450.84,-0.05222,0.789089,-1.804075
12:16.0,454355,33.60728028,73.13031998,450.496,-0.066999,-0.042094,-1.208557
12:16.4,454355.3,33.60727288,73.13032407,449.837,2.073113,-1.099476,8.305015
12:18.3,454357.3,33.60752858,73.13030237,460.111,-0.217135,0.431454,-1.436273
12:19.8,454358.8,33.60737934,73.13031832,457.555,-0.264442,-0.101738,-0.48608
12:19.9,454358.9,33.60737763,73.13031945,457.766,0.289323,-0.026885,0.590252
12:20.0,454359,33.60737902,73.13032005,458.023,0.077894,0.179338,-0.043714
12:20.1,454359.1,33.60737983,73.13031766,457.983,0.062189,0.386787,-0.379706
12:20.2,454359.2,33.60737784,73.13031777,458.876,0.134091,-0.286304,0.268547
12:20.3,454359.3,33.60738207,73.13031636,458.95,0.064005,0.0843,0.243695
12:20.4,454359.4,33.60737983,73.13031914,459.172,-0.141613,-0.492694,-0.453371
12:20.5,454359.5,33.60738379,73.13031863,458.988,0.142016,0.081027,0.692183
12:20.6,454359.6,33.60737793,73.13032073,459.665,-0.492971,-0.094131,-1.240555
12:20.7,454359.7,33.60737486,73.13032453,460.873,0.089729,0.012556,0.45819
12:20.8,454359.8,33.6073801,73.13032028,460.217,0.01535,0.39658,-0.15338
12:20.9,454359.9,33.60737818,73.13032088,460.253,-0.27993,-0.27381,-1.252894
12:21.0,454360,33.60737714,73.13031971,460.436,-0.036964,-0.028088,-0.391396
12:21.1,454360.1,33.60737396,73.13031976,460.713,0.218149,-0.016512,0.061644
12:21.2,454360.2,33.60737533,73.13032029,461.41,0.520628,0.304107,1.454344
12:21.3,454360.3,33.60737304,73.13032385,462.167,0.306214,0.153573,-0.13701
12:21.4,454360.4,33.60736977,73.13032672,462.567,0.02087,-0.480119,-0.040388
12:21.5,454360.5,33.60736699,73.1303258,461.487,-0.084849,-0.313749,0.895533
12:21.6,454360.6,33.6073726,73.13032384,461.255,0.120094,-0.574528,0.987229
12:21.7,454360.7,33.60737015,73.13032489,461.372,0.262496,0.219094,0.178053
